id,category,typst,typst_kind,docx,docx_part,typst_to_docx,docx_to_typst,implementation_t2d,implementation_d2t,notes
M0001,Language / markup,plain markup text,syntax,w:p / w:r / w:t,word/document.xml,high,high,full,full,Unicode text and paragraph boundaries map directly; line wrapping is renderer-dependent.
M0002,Language / markup,paragraph break (blank line),syntax,w:p boundary,word/document.xml,exact,exact,full,full,A blank markup line becomes a new Word paragraph.
M0003,Language / markup,escaped line break \,syntax,w:br,word/document.xml,high,high,full,full,Typst linebreak and Word text-wrapping break are equivalent for ordinary text.
M0004,Language / markup,non-breaking space / weak spacing,syntax,Unicode NBSP or w:noBreakHyphen / spacing,word/document.xml,approximate,approximate,partial,partial,Word has several special spacing characters; Typst has richer layout spacing semantics.
M0005,Language / markup,*strong*,syntax,w:rPr/w:b,word/document.xml,exact,exact,full,full,Bold intent maps directly.
M0006,Language / markup,_emphasis_,syntax,w:rPr/w:i,word/document.xml,exact,exact,full,full,Italic intent maps directly.
M0007,Language / markup,`raw text` and fenced raw blocks,syntax,Code character/paragraph style and w:t,word/document.xml + styles.xml,high,high,full,full,Language tags are retained as metadata/style hints; Word does not natively syntax-highlight code.
M0008,Language / markup,$inline math$,syntax,m:oMath,word/document.xml,high,high,full,full,Converted through OMML; unsupported math nodes retain raw OMML.
M0009,Language / markup,$ display math $,syntax,m:oMathPara,word/document.xml,high,high,full,full,Display placement maps to an equation paragraph.
M0010,Language / markup,= heading / #heading,syntax + element,Heading paragraph style + w:outlineLvl,word/document.xml + styles.xml,high,high,full,full,"Levels, labels, and outline participation are retained; custom show rules are not evaluated."
M0011,Language / markup,- bullet list,syntax,w:numPr + numbering.xml bullet level,word/document.xml + numbering.xml,high,high,full,full,Nested levels and custom bullet glyphs are supported.
M0012,Language / markup,+ numbered list,syntax,w:numPr + numbering.xml numeric level,word/document.xml + numbering.xml,high,high,full,full,Starts and common decimal/letter/Roman formats map directly.
M0013,Language / markup,/ term: description,syntax,definition-style paragraph sequence or table,word/document.xml,approximate,approximate,full,partial,WordprocessingML has no native definition-list element.
M0014,Language / markup,[content block],syntax,sequence of Word blocks/inlines,word/document.xml,high,high,full,partial,Content values are flattened to their materialized document tree.
M0015,Language / markup,<label>,syntax,w:bookmarkStart / w:bookmarkEnd,word/document.xml,high,high,full,full,Word bookmark names are sanitized to Word's identifier constraints.
M0016,Language / markup,@reference,syntax,REF/PAGEREF field or internal hyperlink,word/document.xml,high,high,full,full,Reference supplements and automatic localization may need Word field updates.
M0017,Language / markup,URL / #link,syntax + element,w:hyperlink relationship or anchor,document relationships,exact,exact,full,full,External hyperlinks and internal targets are supported.
M0018,Language / markup,// line comment,syntax,no visible Word node,none,none,none,none,none,Typst source comments are preserved only by embedded exact-roundtrip source.
M0019,Language / markup,/* nested block comment */,syntax,no visible Word node,none,none,none,none,none,"Comments are source-level, not document-level Word comments."
M0020,Language / markup,# expression escape,syntax,materialized result or preservation payload,customXml/typx-source.xml,evaluate,none,partial,none,Literal/simple expressions are parsed; arbitrary computation is preserved rather than executed.
M0021,Language / code,#let binding,code construct,No native OOXML language construct; materialized document result plus embedded Typst source,customXml/typx-source.xml,evaluate,none,partial,none,"The converter is a structural parser, not the Typst engine. Literal bindings and static includes are handled; dynamic behavior is preserved in source/raw wrappers."
M0022,Language / code,function definition,code construct,No native OOXML language construct; materialized document result plus embedded Typst source,customXml/typx-source.xml,evaluate,none,partial,none,"The converter is a structural parser, not the Typst engine. Literal bindings and static includes are handled; dynamic behavior is preserved in source/raw wrappers."
M0023,Language / code,anonymous function,code construct,No native OOXML language construct; materialized document result plus embedded Typst source,customXml/typx-source.xml,evaluate,none,partial,none,"The converter is a structural parser, not the Typst engine. Literal bindings and static includes are handled; dynamic behavior is preserved in source/raw wrappers."
M0024,Language / code,function call,code construct,No native OOXML language construct; materialized document result plus embedded Typst source,customXml/typx-source.xml,evaluate,none,partial,none,"The converter is a structural parser, not the Typst engine. Literal bindings and static includes are handled; dynamic behavior is preserved in source/raw wrappers."
